Item Details,Unit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
00234 HP CB Dry Fruit BarFi 240g (360),PCS,0,0,0,24,0,0,0,0,0,0,0,0,24
00272 HP CB DF Bar Asrtd (35gX1X6) 210g,PCS,0,0,0,24,0,0,0,0,0,0,0,0,24
03402 Happilo Dry Fruit CP GB Nightingal,PCS,0,0,0,0,0,0,900,0,-415,0,0,0,485
165/70R1481TZLXTL,PCS,0,-3,0,-1,0,3,-1,0,-8,0,0,0,-10
20007 Happilo Turkish Apricots 200g,PCS,0,32,50,29,62,105,84,74,20,14,54,0,524
20014 Happilo Dried Bluberries 150gm,PCS,40,10,48,10,48,10,1,40,7,-15,40,0,239
20021 Happilo Califo Almond R&S 200g,PCS,30,15,0,169,50,75,206,160,0,40,16,0,761
20038 Happilo Clf Whole Cranberries 200g,PCS,0,2,0,0,-5,0,0,0,0,-5,0,0,-8
20045 Happilo Drd& PIT Calfo Pruns 200g,PCS,6,15,20,160,101,81,95,90,30,125,45,0,768
20052 Happilo Califo R&S Pistachios 200g,PCS,0,0,0,50,60,0,50,50,24,25,25,0,284
20069 Happilo  Intl Supermix Berries 200,PCS,38,73,50,64,55,144,175,110,32,86,25,0,852
20076 Happilo Califo Walnut Kernel 200g,PCS,0,0,0,-50,0,0,0,25,49,25,0,0,49
20083 Happilo Cashews R&S 200g,PCS,25,22,50,35,53,165,130,100,0,115,57,0,752
20090 Happilo Healthy Nutmix 200g,PCS,76,76,86,33,153,158,184,132,91,81,20,0,1090
20151 Happilo Natural Califo Almds 200g,PCS,30,51,0,12,48,147,107,119,25,136,75,0,750
20168 Happilo Sliced Cranberries 200g,PCS,60,26,0,70,59,6,87,14,-34,21,10,0,319
20175 HappiloDeluxe Kashmiri Walnut 200,PCS,0,0,0,0,20,0,0,0,0,0,0,0,20
20182 HappiloPrm Kashmiri Walnut 200g,PCS,0,0,0,0,0,25,50,0,0,25,50,0,150
20199 Happilo Intl Nuts & Berries 200g,PCS,10,47,30,70,64,108,56,103,3,64,44,0,599
20205 Happilo Intl Trial Mix 200g,PCS,80,11,40,20,60,10,26,40,0,10,20,0,317
20229 HappiloPrem Whole Cashews 200g,PCS,40,37,0,105,25,100,85,25,0,100,-39,0,478
20236 HappiloPrem Seedless Raisin 250g,PCS,0,3,0,149,31,50,-17,75,-6,25,50,0,360
20243 Happilo Afghani Seedless G Raisin,PCS,0,0,0,0,0,25,25,25,0,25,0,0,100
20434 HappiloPrm Afghani Blc Raisin 250,PCS,0,24,70,110,176,158,246,100,-7,90,60,0,1027
20472 Happilo Intl Salted Party Mix 200g,PCS,40,22,30,1,48,20,15,30,16,20,10,0,252
20564 Happilo INSHELL WALNUT 500G,PCS,0,34,40,14,83,82,125,89,0,32,0,0,499
20571 Happilo Calfn inShell Walnut 1000g,PCS,0,48,50,20,46,48,80,24,0,0,30,0,346
20670 Happilo Prem Afghani Anjeer 200g,PCS,134,73,50,67,130,135,166,65,65,76,25,0,986
20687 Happilo Prem Ir R&S Pistachios 200,PCS,86,38,80,20,2739,85,101,120,43,25,30,0,3367
20991 Happilo Prem S&R Pumpkin Seeds 200,PCS,80,18,60,55,105,119,169,62,87,68,50,0,873
21035 Happilo Prem Queen Kalmi Dates 200,PCS,0,45,70,49,84,120,280,45,0,75,33,0,801
21042 Happilo KING MEDJOUL DATES 200G,PCS,87,0,40,0,10,10,10,0,0,0,50,0,207
21059 Happilo Prem Omani Dates 250g,PCS,100,103,140,10,153,216,46,348,222,206,150,0,1694
21073 Happilo Prem Seeds & Berries 200g,PCS,0,0,0,75,79,45,71,15,0,24,25,0,334
21080 Happilo Prem Dried B'berry C'berry,PCS,43,32,68,18,100,25,50,20,55,35,0,0,446
21202 HP Supersoft Kimia Dates 500g 399/,PCS,0,0,540,40,92,0,0,0,0,0,0,0,672
22476 Happilo Prm White CHIA Seeds 250G,PCS,0,0,0,0,0,0,0,6,0,12,6,0,24
22483 Happilo Prem Raw Melon Seeds 200g,PCS,0,0,0,0,0,6,12,6,0,1,0,0,25
22544 Happilo OMANI DATES 680GM 549/-,PCS,0,0,0,0,0,18,0,0,0,18,1,0,37
22827 Ziofit Californian Almonds,PCS,34,55,60,200,12,12,12,0,0,0,40,0,425
22834 Ziofit Indian Whole Cashew 200gm,PCS,20,13,48,309,10,218,70,48,40,70,2,0,848
22841 Ziofit Indian Long Raisins 200,PCS,6,72,80,63,144,250,112,4,6,48,0,0,785
22858 Ziofit R&S Pistachios,PCS,48,40,70,274,40,136,136,0,0,0,96,0,840
22865 Ziofit Inshell Walnut BOGO 200G315,PCS,50,0,47,0,17,20,20,10,10,0,0,0,174
22896 Ziofit Californian Almonds,PCS,10,20,60,45,0,0,0,0,0,0,0,0,135
22902 Ziofit Indian Whole Cashew 500g,PCS,10,10,50,1,0,0,0,0,0,0,0,0,71
22919 Ziofit Roasted & LS Pistachios 500,PCS,24,50,34,0,0,0,1,0,0,0,0,0,109
22926 Ziofit Indian Long Raisins,PCS,48,72,70,24,0,0,0,0,0,0,0,0,214
22933 Ziofit Californian Inshell Walnuts,PCS,72,20,4,0,0,0,0,0,0,0,0,0,96
22964 Ziofit Classic Sultan Date 500g,PCS,82,48,90,10,0,0,0,0,0,0,0,0,230
22971 Ziofit Walnuts Kernels Ext 250,PCS,80,51,61,168,118,88,0,72,12,0,0,0,650
22988 Ziofit Dried Figs 200g 625/-,PCS,0,24,72,274,20,36,12,70,25,0,48,0,581
23046 Ziofit Classic Sultan Date 250,PCS,48,83,167,360,100,70,192,80,30,0,1,0,1131
23053 Ziofit Walnut Kernels Extr,PCS,143,0,96,262,52,72,0,140,20,47,0,0,832
23060 Ziofit Walnut Kernels (BOGO) 250g,PCS,36,48,36,251,66,92,70,64,0,0,48,0,711
23619 Happilo Natural Almond 500g,PCS,1895,2500,0,771,2090,2257,372,1910,2,26,165,0,11988
23626 Happilo Prem Whole Cashews 500g,PCS,1221,1160,173,1596,655,2360,66,1965,213,205,400,0,10014
23633 Happilo Prem Seedles Raisins 500g,PCS,195,11,91,102,111,140,150,570,91,116,160,0,1737
23640 Happilo R&S Califo Pistachios 500g,PCS,152,40,100,113,233,160,201,287,131,270,79,0,1766
23732 HP Dry Fruit CB GTB MACAW 285G 599,PCS,0,0,0,0,0,0,500,0,0,0,0,0,500
23749 Happilo Dry Fruit Celeb Earth,PCS,0,0,0,0,0,0,700,0,0,0,0,0,700
26856 Happilo Dry Fruit Celebrat,PCS,0,0,0,0,0,0,400,0,0,0,0,0,400
26870 Happilo Dry Fruit Celebrat,PCS,0,0,0,0,0,0,24,0,0,0,0,0,24
27037 Happilo Oven R&S Cashew 80g,PCS,0,24,0,76,0,0,0,0,0,0,0,0,100
27181 Happilo Super Mom Trial Mix 350g,PCS,5,20,55,25,40,30,44,26,0,0,25,0,270
27211 Happilo Prem Seeds & Nuts Mix 250g,PCS,0,20,80,15,30,0,40,59,0,0,40,0,284
27235 Happilo Prm 10in1Seeds & Nuts Mix,PCS,0,25,0,0,0,0,0,0,0,0,0,0,25
27464 HP SS Makhana Perky Pudina 60g(99),PCS,0,0,0,150,0,45,0,0,0,0,0,0,195
27471 HP SS Makhana Peri Peri 60g (99),PCS,0,0,0,150,0,45,75,15,60,0,15,0,360
27563 Happilo Prem Intl Fitness Mix 160g,PCS,60,10,65,24,60,0,15,26,0,0,50,0,310
27570 Happilo Prem Intl Health Mix 160g,PCS,10,10,51,60,30,18,50,40,10,0,40,0,319
27587 Happilo Prm Intrn Champion Mix 160,PCS,20,11,47,25,40,10,50,20,10,0,25,0,258
28034 Happilo Dry Fruit Celebrat,PCS,0,0,0,0,0,0,300,0,0,0,0,0,300
28072 Happilo Dry Fruit CP GB Gardenia,PCS,0,0,0,0,0,0,500,0,0,0,0,0,500
28164 Happilo Dry Fruit Celeb Orchid 1kg,PCS,0,0,0,0,0,0,36,262,-67,0,0,0,231
28393 HP SS Makhana Chilli Garlic 60g (9,PCS,0,0,0,150,0,60,45,75,0,0,75,0,405
28409 HP SS Makhana Pink S&P 60g (99),PCS,0,0,0,150,0,55,0,60,15,0,44,0,324
28423 HP SS Makhana Cream&Onion 60g (99),PCS,0,0,0,150,0,45,0,60,15,0,45,0,315
28744 HP Cranberry Cashew DF Bar35g (70),PCS,0,0,0,432,144,0,138,288,0,0,0,0,1002
28751 HP Rose Almond DF Bar 35g (70),PCS,0,0,0,432,144,0,0,0,0,0,0,0,576
28768 HP Walnuts DF Bar 35g (70),PCS,0,0,0,432,372,0,0,144,0,0,0,0,948
28775 HP Pista DF Bar 35g (70),PCS,0,0,0,432,253,0,0,144,0,0,144,0,973
28782 HP Choco Almond DF Bar 35g (70),PCS,0,0,0,432,420,0,0,0,0,0,0,0,852
29215 HP Blueberries DF Bar 35g (70),PCS,0,0,0,432,144,0,144,0,0,0,0,0,720
29642 HP CB DF Bar Asrtd (15gX2X6) 180g,PCS,0,0,0,24,0,0,0,0,0,0,0,0,24
29932 Happilo Dry Fruit BarFi GB 240G,PCS,0,0,0,0,0,0,200,0,-1,0,0,0,199
BABA BHUJIA SF ACHARI MANGO-30GM,PCS,0,0,0,0,170,0,600,-58,0,0,0,0,712
BABA BHUJIA SF CRUNCHY VEGGIES-30GM,PCS,0,0,0,0,170,0,600,-63,600,0,0,0,1307
BABA BHUJIA SF MIX S BUNDI-30GM,PCS,0,0,0,0,170,200,300,-80,600,0,0,0,1190
BABA BHUJIA SF PUDINA MASALA-30GM,PCS,0,0,0,0,170,0,300,-76,0,0,0,0,394
Baba Elaichi Silver Coated 10 g,PCS,530,385,-220,30,70,105,130,95,225,99,150,0,1599
Baba Elaichi Silver Coated 6 g,PCS,50,70,60,60,100,50,90,70,90,100,20,0,760
BABA FRU ASSORTED JELLY JAR,PCS,-3,0,0,0,0,0,0,0,0,0,0,0,-3
BABA FRU ASSORTED JELLY POUCH (3.6x100),PCS,30,0,0,30,-1,-2,30,29,30,60,0,0,206
BABA FRU ASSORTED JELLY POUCH (3.6X30),PCS,0,0,-5,-46,-3,0,0,-12,-6,-12,0,0,-84
BABA GEL & JELLY ASSORTED FUN PACK 3*4,PCS,0,0,0,0,0,0,0,3,-6,0,0,0,-3
BABA KABULI CHANNA SF HING JEERA-30GM,PCS,0,0,0,0,170,200,-90,0,0,0,0,0,280
BABA KABULI CHANNA SF LEMON CHILLI-30GM,PCS,0,0,0,0,170,200,0,-128,0,0,0,0,242
BABA KABULI CHANNA SF PLAIN SALTED-30GM,PCS,0,0,0,0,170,0,0,0,0,0,0,0,170
BABA KABULI CHANNA SF PUDINA MASALA-30GM,PCS,0,0,0,0,170,0,-96,0,0,0,0,0,74
BABA LIQUID LIFE NAT. MINERAL WATER 15L,PCS,25,28,0,-3,6,0,0,0,0,-1,0,0,55
BABA LIQUID LIFE NAT. MINERAL WATER 1L,PCS,900,1044,900,792,1260,575,636,312,744,372,192,0,7727
BABA LIQUID LIFE NAT. MINERAL WATER 200,PCS,168,168,216,72,312,72,192,72,168,72,0,0,1512
BABA MAKHANA ACHARI MANGO TWIST - 16GM,PCS,593,682,2250,2357,2560,2830,3320,1860,1934,2055,900,0,21341
BABA MAKHANA ACHARI MANGO TWIST - 75 GM,PCS,72,38,0,24,48,0,19,24,-7,0,0,0,218
BABA MAKHANA CHEESY GARLIC TWIST - 16 GM,PCS,0,180,1620,1440,630,900,720,1440,1530,1260,720,0,10440
BABA MAKHANA CHEESY SALT & BLC P - 16 GM,PCS,0,450,1440,1350,1170,1440,1710,360,1080,2520,720,0,12240
BABA MAKHANA LEMON MASALA TWIST - 16GM,PCS,1770,2390,3514,3980,3618,4323,4180,2940,2600,2637,1539,0,33491
BABA MAKHANA LEMON MASALA TWIST - 75 GM,PCS,72,48,0,48,48,0,24,0,0,48,0,0,288
BABA MAKHANA PERI PERI MASALA 80GM,PCS,0,0,0,0,0,20,88,8,0,0,0,0,116
BABA MAKHANA PERI PERI TWIST - 16GM,PCS,0,450,1440,1440,720,720,450,900,990,1080,450,0,8640
BABA MAKHANA PUDINA MASALA 80GM,PCS,0,0,0,0,0,20,88,8,0,0,0,0,116
BABA MAKHANA PUDINA MASALA TWIST - 16GM,PCS,1973,2330,3946,4660,5160,4677,4800,4470,3649,3118,1620,0,40403
BABA MAKHANA PUDINA MASALA TWIST - 75 GM,PCS,96,48,0,24,144,24,0,0,24,48,0,0,408
BABA MAKHANA SALT & BLC PPR 80GM,PCS,0,0,0,0,0,20,172,8,0,24,0,0,224
BABA NATURE'S MIRACLE AGLIO SAUCE 150G,PCS,6,16,0,5,2,0,5,29,15,1,-1,0,78
BABA NATURE'S MIRACLE AOBITA SAUCE 400G,PCS,-10,6,-6,6,0,18,0,0,24,5,0,0,43
BABA NATURE'S MIRACLE CHETTINAD GRAVY,PCS,0,0,-6,0,0,-3,-4,12,-3,0,0,0,-4
BABA NATURE'S MIRACLE DATE SWTNR 200G,PCS,0,0,0,0,0,0,0,4,14,4,0,0,22
BABA NATURE'S MIRACLE MAKHANI GRAVY 370g,PCS,0,0,0,0,0,3,3,-2,0,0,0,0,4
BABA NATURE'S MIRACLE RATATO SPREAD 175G,PCS,6,0,0,4,-1,3,33,21,9,-9,-6,0,60
BABA NATURE'S MIRACLE S.WICH SPREAD 175G,PCS,0,0,0,0,0,3,3,3,16,-16,-1,0,8
BABA NATURE'S MIRACLE TOMATO SALSA 175,PCS,2,8,-1,3,11,14,39,18,0,-9,-34,0,51
BABA SF ACHARI MANGO CHIPS-45G,PCS,134,180,0,270,0,0,90,89,178,270,0,0,1211
BABA SF ASSORTED BOX MAKHANA 3CANS*80G,PCS,0,0,0,0,0,0,56,0,0,0,0,0,56
BABA SF PUDINA MIX CHIPS-45G,PCS,90,90,90,270,0,0,0,0,90,90,0,0,720
BABA SF SALT & PEPPER CHIPS-45G,PCS,0,0,0,0,0,0,0,1440,0,0,0,0,1440
BOROLINE ANTISEPTIC CR 20G T 42/-,PCS,0,0,500,0,0,0,500,227,0,652,0,0,1879
BOROLINE ANTISEPTIC CR 40G JAR 80/-,PCS,0,0,360,0,0,0,240,524,0,1117,0,0,2241
BOROLINE SUTHOL CHANDAN 200ML 85/-,PCS,0,0,120,0,0,0,0,0,0,0,0,0,120
BOROLINE SUTHOL CHANDAN SPRAY 100ML,PCS,0,0,120,0,0,0,0,0,0,0,0,0,120
BOROLINE SUTHOL NEEM 100ML 48/-,PCS,0,0,240,0,0,80,0,0,0,0,0,0,320
BOROLINE SUTHOL NEEM 200ML 85/-,PCS,0,0,360,0,0,0,0,0,0,0,0,0,360
BOROLINE SUTHOL NEEM SPRAY 100ML,PCS,0,0,240,0,0,0,0,0,0,0,0,0,240
BOROLINE SX ANTISEPTIC CR 100G 185/-,PCS,0,0,60,0,0,0,0,0,0,0,0,0,60
BOROLINE ULTRA SMOOTH ANTISEPTIC CRM 100,PCS,0,0,60,0,0,0,0,0,0,0,0,0,60
BOROLINE ULTRA SMOOTH CRM 20ml,PCS,0,0,0,0,0,0,180,0,0,159,0,0,339
BOROLINE ULTRA SMOOTH CRM 40GM,PCS,0,0,0,0,0,0,120,261,0,772,0,0,1153
Denver Beer Shampoo Anti Dandruff 200ml,PCS,0,0,600,0,0,0,0,0,0,0,0,0,600
Denver Black Code Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Caliber Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Deo Blackcode 127G 280/-,PCS,3339,686,215,1160,124,0,222,12,63,119,6,0,5946
Denver Deo Caliber 127gm 280/-,PCS,918,1524,1767,792,792,1326,735,290,807,870,6,0,9827
Denver Deo Goal 127G 265/-,PCS,0,0,600,0,0,0,0,0,0,0,0,0,600
Denver Deo Hamilton 127gm 280/-,PCS,2059,4902,2016,3684,4047,5109,4649,3153,6441,3012,1215,0,40287
Denver Deo Honour 127gm 280/-,PCS,488,1029,1149,900,435,123,480,243,205,138,12,0,5202
Denver Deo Imperial 127gm 280/-,PCS,2542,2865,855,2904,2355,2223,2942,1683,1554,1641,1224,0,22788
Denver Deo Men of Steel Drill 127G 280/-,PCS,0,0,0,0,0,900,0,0,0,0,0,0,900
Denver Deo Pride 127gm 280/-,PCS,975,1037,438,1023,558,300,546,440,381,157,9,0,5864
Denver Deo Rider 127G 265/-,PCS,0,0,600,0,0,0,0,0,0,0,0,0,600
Denver Deo Victor 127G 280/-,PCS,0,0,900,300,0,0,1800,0,0,900,720,0,4620
Denver Facewash Acne Clear 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Facewash Deep Clean 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Facewash Oil Clear 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Hamilton Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Imperial Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Perfume Blackcode 70ml 349/-,PCS,0,0,0,0,0,0,0,0,0,1824,1200,0,3024
Denver Victor Deo Cap,PCS,0,0,0,0,25,0,0,0,0,0,0,0,25
EARTHFRESH BROWN CHANA 500G POUCH,PCS,0,0,0,0,0,0,0,0,300,60,120,0,480
EARTHFRESH CHANA BESAN 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,0,60,0,300
EARTHFRESH CHANA DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,0,0,240,0,240
EARTHFRESH GOBINDO BHOG RICE 1KG,PCS,0,0,0,0,0,0,0,0,0,0,270,0,270
EARTHFRESH GREEN MOONG 500G POUCH,PCS,0,0,0,0,0,0,0,0,300,60,60,0,420
EARTHFRESH KABULI CHANA 500G POUCH,PCS,0,0,0,0,0,0,0,0,420,100,120,0,640
EARTHFRESH KASHMIRI RAJMA 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,60,60,0,360
EARTHFRESH MASOOR MALKA 500G POUCH,PCS,0,0,0,0,0,0,0,0,360,60,120,0,540
EARTHFRESH MATAR 500G POUCH,PCS,0,0,0,0,0,0,0,0,360,60,90,0,510
EARTHFRESH MOONG DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,60,120,0,420
EARTHFRESH TOOR DAL 1KG,PCS,0,0,0,0,0,0,0,0,240,60,60,0,360
EARTHFRESH URAD DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,180,60,60,0,300
Envy Perfume Men 70ml Black 349/-,PCS,0,0,0,-1,1200,1200,2256,0,1440,624,0,0,6719
Envy Perfume Women 70ml White 349/-,PCS,0,0,0,0,1200,0,0,1344,0,720,0,0,3264
EVA BODY SPRAY DOLL 150ML,PCS,18,-1,0,1104,0,0,607,0,0,24,0,0,1752
EVA BODY SPRAY FRESH 125ML,PCS,1515,12,21,603,612,0,12,618,9,3,6,0,3411
EVA BODY SPRAY FRESH 150ML,PCS,204,24,0,360,0,0,1212,0,0,24,0,0,1824
EVA BODY SPRAY SWEET 150ML,PCS,0,24,0,0,0,0,12,0,0,24,0,0,60
EVA BODY SPRAY WILD 150ML,PCS,204,24,0,360,0,0,1212,0,0,0,0,0,1800
EVA DEO SPRAY BLUSH 125ML,PCS,18,24,9,0,3,0,3,6,3,12,0,0,78
EVA DEO SPRAY COMBI 125ML 285/-,PCS,6,131,69,36,63,60,78,6,24,12,81,0,566
EVA DEO SPRAY COMBI 150ML,PCS,9,0,51,12,42,0,0,96,39,9,0,0,258
EVA DEO SPRAY COMBI 2G1 150ML 400/,PCS,18,112,80,388,57,31,64,74,33,25,60,0,942
EVA DEO SPRAY DEW 125ML,PCS,6,0,0,0,0,0,0,0,0,0,0,0,6
EVA DEO SPRAY DOLL 125ML,PCS,1509,51,12,1806,609,12,9,1215,12,0,6,0,5241
EVA DEO SPRAY DOLL Mini 40ML,PCS,0,0,0,360,0,0,0,0,0,0,0,0,360
