Item Details,Unit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
Streax Hair Color Smart D Brown 25/-,PCS,0,0,192,0,0,0,0,0,0,0,192,0,384
Streax Hair Serum 100m 299/-,PCS,1723,1861,2138,468,691,396,648,492,610,482,282,0,9791
Streax Hair Serum 45m,PCS,1549,1833,2006,886,142,124,0,0,0,0,0,0,6540
Streax HC - 45 ml Dark Brown 30/-,PCS,192,0,0,0,0,0,0,0,0,0,0,0,192
Streax HC - 45 ml Golden Blonde 35/-,PCS,-1,0,0,0,0,0,0,0,0,0,0,0,-1
Streax HC - 60 ml Black Brown Mini 65/-,PCS,72,0,0,0,0,0,0,0,0,0,0,0,72
Streax HC - 60 ml Dark Brown Mini 65/-,PCS,0,0,0,72,0,0,0,0,0,0,0,0,72
Streax HC - 60 ml Golden Blonde Mini 70/,PCS,72,72,0,0,0,0,0,0,0,0,0,0,144
Streax HC - 60 ml N Black Mini 65/-,PCS,0,0,0,72,0,0,0,0,0,0,0,0,72
Streax HC - 60 ml N Brown Mini 65/-,PCS,0,72,0,72,0,0,0,0,0,0,0,0,144
Streax HC  Ultralight Purple 160/-,PCS,0,-3,0,0,0,0,0,0,0,0,0,0,-3
Streax HC  Ultralight Vibrant Red 160/-,PCS,10,0,0,0,0,0,0,0,0,0,0,0,10
Streax HC Smart Burgundy 25/-,PCS,192,0,0,0,0,0,0,0,0,0,0,0,192
Streax HC Ultralights Soft RED 175/-,PCS,0,48,0,0,0,0,0,0,0,0,0,0,48
Streax Insta HC Dark Brown 25/-,PCS,960,2304,1152,384,0,0,0,0,0,192,0,0,4992
Streax Insta HC N Black  25/-,PCS,3072,768,1152,192,0,0,0,0,0,192,0,0,5376
Streax Insta HC N Black  25ml,PCS,192,0,0,0,0,0,0,0,0,144,0,0,336
Streax Insta HC N Brown 25/-,PCS,192,0,0,0,0,0,0,0,0,0,0,0,192
Streax Insta Shampoo HC Burgundy 25/-,PCS,252,192,0,0,0,0,0,0,0,0,0,0,444
Streax Insta Shampoo HC D Brown 25ml 39/,PCS,6867,6177,2407,2031,2717,2880,1536,2688,1920,2112,1488,0,32823
Streax Insta Shampoo HC N Black 15ml 25/,PCS,7536,7336,1569,3071,5756,6720,5376,6336,5760,4800,3840,0,58100
Streax Insta Shampoo HC N Black 25ml 39/,PCS,0,0,0,0,0,0,0,0,0,144,288,0,432
Streax Insta Shampoo HC N Brown 15ml 25/,PCS,3856,5613,4800,192,2304,2304,3264,3264,2496,2688,2112,0,32893
Streax Luscious Long Conditioner 249/--,PCS,0,-21,0,0,0,0,0,0,0,0,0,0,-21
Streax Luscious Long Shampoo 190/-,PCS,0,-2,0,0,0,0,0,0,0,0,0,0,-2
Streax TLC  Dark Brown 170m No3,PCS,58,48,48,48,0,0,0,0,0,0,0,0,202
Streax TLC D Brown Mini 225/-,PCS,216,72,108,96,0,24,0,0,0,0,0,0,516
Streax TLC N Black 170ml 1 No,PCS,72,48,0,24,0,0,0,0,0,0,0,0,144
Streax TLC N Black Mini 225/-,PCS,252,36,133,25,-12,0,0,0,0,0,0,0,434
Streax Ultralight Cappuccino Brown 160/-,PCS,0,48,0,-1,0,0,0,0,0,0,0,0,47
Streax Ultralight Green Emerald 160/-,PCS,0,-12,0,0,5,0,0,0,0,0,0,0,-7
Streax Ultralight Hazel Brown 160/-,PCS,16,0,0,0,0,0,0,0,0,0,0,0,16
Streax Ultralight Mocha Brown 160/-,PCS,-1,-1,0,0,0,0,0,0,0,0,0,0,-2
Super Vasmol Kesh kala-33 100ml,PCS,1152,2400,914,588,96,288,672,864,480,288,96,0,7838
Super Vasmol Kesh kala-33 50ml,PCS,402,210,12,192,24,24,0,12,0,0,0,0,876
TB BABY DIAPERS PANTS EASY NEWBORN 5s,PCS,0,0,0,120,0,80,40,240,120,40,0,0,640
TB DIAPERS PANTS EASY L 42s*6,PCS,-3,0,0,0,0,0,0,0,0,0,0,0,-3
TB DIAPERS PANTS EASY LARGE 30s*8,PCS,0,0,24,352,40,552,48,440,408,848,200,0,2912
TB DIAPERS PANTS EASY LARGE 5s*40,PCS,0,40,0,0,0,0,0,0,0,0,0,0,40
TB DIAPERS PANTS EASY LARGE 62s*6,PCS,0,0,0,0,0,0,12,0,0,0,0,0,12
TB DIAPERS PANTS EASY M 34s*8,PCS,0,0,64,616,224,1384,128,992,1080,1760,664,0,6912
TB DIAPERS PANTS EASY MEDIUM 5s*40,PCS,0,40,0,0,0,0,0,0,0,0,0,0,40
TB DIAPERS PANTS EASY MEDIUM 74s*6,PCS,0,0,0,0,0,0,12,0,0,0,0,0,12
TB DIAPERS PANTS EASY MEDIUM 9S*24,PCS,0,24,0,0,0,0,0,0,0,0,0,0,24
TB DIAPERS PANTS EASY SMALL 10s*24,PCS,0,0,48,0,0,0,0,0,0,0,0,0,48
TB DIAPERS PANTS EASY SMALL 42s*8,PCS,0,0,83,903,168,752,624,3080,2720,4504,1784,0,14618
TB DIAPERS PANTS EASY SMALL 78s*4,PCS,0,0,0,0,0,0,12,0,0,0,0,0,12
TB DIAPERS PANTS EASY XL 26s*8,PCS,0,8,0,128,0,72,16,96,88,176,64,0,648
TB SNUGGY BABY DIAPER PANTS L30s*8,PCS,0,0,0,16,24,0,0,48,0,0,0,0,88
TB SNUGGY BABY DIAPER PANTS M34s*8,PCS,0,0,0,16,0,240,0,0,0,0,0,0,256
TB SNUGGY BABY DIAPER PANTS S42s*8,PCS,0,0,0,48,16,8,0,0,0,0,0,0,72
TB SNUGGY BABY DIAPER PANTS XL28s*8,PCS,0,0,0,24,0,8,0,0,0,0,0,0,32
TB SNUGGY BABY PANTS NEWBORN 18s*24,PCS,0,0,0,48,0,48,0,0,0,0,0,0,96
TB WET WIPES WITH LID 72S*24,PCS,0,48,0,120,48,120,0,0,240,120,48,0,744
TOPS BAKING POWDER (400GM X 12) HDPE - 9,PCS,0,0,0,0,12,0,0,0,0,0,0,0,12
TOPS CHOCO FLAKES (24GM X 180) - 10,PCS,0,0,0,0,0,0,0,0,-48,0,0,0,-48
TOPS CORN FLAKES (500G*2*6) QS Box 150,Box,0,0,0,0,0,0,0,0,0,0,5,0,5
TOPS CORN FLAKES (500GM X 12) POUCH - 14,PCS,0,0,0,78,390,156,252,0,-14,0,0,0,862
TOPS CORN FLAKES (500GM*12) POUCH BOX,Box,0,0,0,0,0,0,0,0,15,0,1,0,16
TOPS CUSTARD VANILLA (100+30GM X 60)-45,PCS,0,0,0,0,0,0,0,0,-7,0,0,0,-7
TOPS CUSTARD VANILLA (500G*24JAR) BOX,Box,0,0,0,0,0,0,0,1,0,0,0,0,1
TOPS CUSTARD VANILLA (500GM X 24) (RP) -,PCS,0,0,0,0,216,72,144,0,0,0,0,0,432
TOPS CUSTARD VANILLA (500GM X 24) PET JA,PCS,0,0,0,0,0,0,96,0,0,0,0,0,96
TOPS CUSTARD VANILLA (500GM*24R) BOX,Box,0,0,0,0,0,0,0,4,7,60,13,0,84
TOPS DRINKING CHOCOLATE (100GM X 48) BOX,Box,0,0,0,0,0,0,5,5,1,7,2,0,20
TOPS GOLD PKL MIX (4.5KG*4)JAR -BOX 400,Box,0,0,0,0,0,0,0,17,89,78,4,0,188
TOPS HONEY BLISTER 15G*360,Box,0,0,0,0,0,0,0,0,0,0,2,0,2
TOPS HONEY BLISTER 15G*45*8 Single,PCS,0,0,0,0,0,0,0,0,0,0,20,0,20
TOPS INST. MIX GULAB JAMUN (500GX24)BOX,Box,0,0,0,0,0,0,0,2,0,0,0,0,2
TOPS INSTANT MIX GULAB JAMUN (500GM X 24,PCS,0,0,0,0,0,480,0,0,0,0,0,0,480
TOPS JAM MIX (12GM X 1152) POUCH 2/-,PCS,0,0,0,0,10368,13824,0,0,0,0,0,0,24192
TOPS JAM MIX (12GM X 1152) POUCH BOX,Box,0,0,0,0,0,0,20,0,0,5,11,0,36
TOPS JAM MIX (15GMX8X125) BLISTER - 3.5,PCS,0,0,0,0,1000,1000,0,0,0,0,20,0,2020
TOPS JAM MIX (15GX8X125)BLISTER  BOX 3.5,Box,0,0,0,0,0,0,0,0,2,14,4,0,20
TOPS JAM MIX (200GM X 24) - 75,PCS,0,0,0,0,24,0,120,0,0,0,0,0,144
TOPS JAM MIX (200GM X 24) 1800/- BOX,Box,0,0,0,0,0,0,5,0,0,0,0,0,5
TOPS JAM MIX (5KG X 4) HDPE - 465,PCS,0,0,0,0,176,352,24,0,0,0,0,0,552
TOPS JAM MIX (5KG X 4) HDPE - 465 (BOX),Box,0,0,0,0,0,0,79,50,29,66,50,0,274
TOPS JAM MIX (875GM X 12) BOX - 225,Box,0,0,0,0,0,0,0,1,3,1,1,0,6
TOPS JAM MIX (875GM X 12) HDPE - 225,PCS,0,0,0,0,0,12,24,0,0,0,0,0,36
TOPS JAM ORANGE MARMALADE (475G*12)BOX,Box,0,0,0,0,0,0,0,0,2,0,1,0,3
TOPS JAM PINEAPPLE (875GM X 12) BOX 205/,Box,0,0,0,0,0,0,0,0,1,0,0,0,1
TOPS NAV G CHILLI PKL (4.5KGX4) 370 Box,Box,0,0,0,0,0,0,0,0,0,0,39,0,39
TOPS NAV MIXED PICKLE (375GM X 24) - 75,PCS,0,0,0,0,0,0,0,0,-12,0,0,0,-12
TOPS NAV MIXED PICKLE (4.5KG X 4) - 370,PCS,0,0,0,238,812,922,476,0,-6,0,0,0,2442
TOPS NAV MIXED PICKLE (4.5KGX4) 370 Box,Box,0,0,0,0,0,0,123,238,271,248,255,0,1135
TOPS NAV MIXED PICKLE (900GM X 12) - 155,PCS,0,0,0,0,163,0,0,0,0,0,0,0,163
TOPS NOODLE PLAIN (300GM X 24) - 60,PCS,0,0,0,0,0,0,480,0,0,0,0,0,480
TOPS NOODLE PLAIN (700GM X 18) - 85 BOX,Box,0,0,0,0,0,0,277,214,255,107,153,0,1006
TOPS NOODLE PLAIN (700GM X 18) - 85 TOP,PCS,0,0,0,0,3492,2628,0,0,0,0,0,0,6120
TOPS PICKLE MIX (06GM X 1008) POUCH 1Box,Box,0,0,0,0,0,0,60,16,78,0,0,0,154
TOPS PICKLE MIX (07GM X 1008) POUCH Rs1,PCS,0,0,0,144,5040,5040,0,0,0,0,28,0,10252
TOPS PICKLE MIX (4.5KG X 4) JAR - 400,PCS,0,0,0,0,16,96,136,0,0,0,0,0,248
TOPS PKL GOLD G.CHILLI (900GMX12)JAR 195,PCS,0,0,0,0,204,24,300,0,0,0,0,0,528
TOPS PKL GOLD G.CHILLI (900GX12)JAR Box,Box,0,0,0,0,0,0,6,43,41,11,33,0,134
TOPS PKL GOLD GARLIC (375G*12)-190 BOX,Box,0,0,0,0,0,0,0,5,3,1,5,0,14
TOPS PKL GOLD GARLIC (375GM X 12)-190 PE,PCS,0,0,0,0,0,0,0,0,-14,0,0,0,-14
TOPS PKL GOLD LIME (900G*12J) BOX 195,Box,0,0,0,0,0,0,0,1,0,2,11,0,14
TOPS PKL GOLD LIME (900GM X 12) JAR - 19,PCS,0,0,0,0,0,12,12,12,0,0,0,0,36
TOPS PKL GOLD MANGO (375GM X 24) - 135PE,PCS,0,0,0,0,0,0,0,0,-38,0,0,0,-38
TOPS PKL GOLD MANGO (900G X 12J) Box,Box,0,0,0,0,0,0,2,34,3,26,11,0,76
TOPS PKL GOLD MANGO (900GM X 12) JAR 195,PCS,0,0,0,0,102,0,0,0,0,0,0,0,102
TOPS PKL GOLD MG SWEET CHUTNEY (450X12)1,PCS,0,0,0,0,24,0,0,0,0,0,0,0,24
TOPS PKL GOLD MG SWEETCHUTNEY(450*12)BOX,Box,0,0,0,0,0,0,0,0,10,0,0,0,10
TOPS PKL GOLD MIX (15G*800) BLISTER BOX,Box,0,0,0,0,0,0,0,7,12,1,9,0,29
TOPS PKL GOLD MIX (15GM X 800) BLISTER -,PCS,0,0,0,0,0,6400,800,0,0,0,20,0,7220
TOPS PKL GOLD MIX (900G X 12) (1+1)-275,PCS,0,0,0,0,48,0,0,0,0,0,0,0,48
TOPS PKL GOLD MIX (900GM X 12) 195/-,PCS,0,0,0,0,396,132,60,0,0,0,0,0,588
TOPS PKL GOLD MIX (900GM X 12) 195/- Box,Box,0,0,0,0,0,0,0,69,5,36,2,0,112
TOPS PKL GOLD ST RED CHILLI (900GM) Box.,Box,0,0,0,0,0,0,1,2,0,0,8,0,11
TOPS PKL GOLD ST. RED CHILLI (900*12)315,PCS,0,0,0,0,12,60,0,0,-1,0,-1,0,70
TOPS PKL GOLD SWEET LIME (950G*12J) BOX,Box,0,0,0,0,0,0,0,1,0,1,0,0,2
TOPS PKL GOLD SWEET LIME (950GM X 12) JA,PCS,0,0,0,0,0,0,0,36,0,0,0,0,36
TOPS SAUCE-CONTI (950G*16)-90 BOX HDPE,Box,0,0,0,0,0,0,0,0,0,31,16,0,47
TOPS SAUCE-CONTINENTAL (945GMX12) - 60 P,PCS,0,0,0,0,0,0,0,0,-2,0,0,0,-2
TOPS SAUCE-CONTINENTAL(1.14KX12)-110 BoX,Box,0,0,0,0,0,0,175,175,150,124,126,0,750
TOPS SAUCE-CONTINENTAL(1.14KX12)-110/-,PCS,0,0,0,900,2100,1248,0,-23,0,0,0,0,4225
TOPS SAUCE-CONTINENTAL(945GMX12)-90 BOX,Box,0,0,0,0,0,0,19,10,0,0,0,0,29
TOPS SAUCE-CONTINENTAL(950GMX16)-90 TOP,PCS,0,0,0,0,0,0,0,0,0,0,1,0,1
TOPS SAUCE-DARK SOYA (740GM X 18) BOX 75,Box,0,0,0,0,0,0,0,0,0,20,0,0,20
TOPS SAUCE-GREEN CHILLI (08G X 1296) BOX,Box,0,0,0,0,4,3,1,0,0,0,0,0,8
TOPS SAUCE-GREEN CHILLI (08GM X 1296) PC,PCS,0,0,0,144,0,0,0,0,0,0,0,0,144
TOPS SAUCE-GREEN CHILLI (200GM X 24) - 6,PCS,0,0,0,0,0,0,0,0,-9,0,0,0,-9
TOPS SAUCE-GREEN CHILLI (650GM X 18) HDP,PCS,0,0,0,18,1168,216,614,0,-132,0,0,0,1884
TOPS SAUCE-GREEN CHILLI (650GM*18) BOX,Box,0,0,0,0,0,0,34,69,74,22,90,0,289
TOPS SAUCE-GREEN CHILLI(1.15KGX12) 108/-,PCS,0,0,0,351,1508,1776,1032,0,-12,0,0,0,4655
TOPS SAUCE-GREEN CHILLI(1.15KGX12) Box.,Box,0,0,0,0,0,0,127,100,96,234,70,0,627
TOPS SAUCE-RED CHILLI (1.15 KG X 12) BOX,Box,0,0,0,0,0,0,0,6,86,92,25,0,209
TOPS SAUCE-RED CHILLI (1.15 KG X 12) HDP,PCS,0,0,0,195,240,264,876,0,0,0,0,0,1575
TOPS SAUCE-RED CHILLI (200GM X 24) - 65,PCS,0,0,0,0,0,0,0,0,-6,0,0,0,-6
TOPS SAUCE-RED CHILLI (650GM X 18) HDPE,PCS,0,0,0,228,306,90,306,-8,-203,0,0,0,719
TOPS SAUCE-RED CHILLI (650GM*18) BOX,Box,0,0,0,0,0,0,17,4,38,25,4,0,88
TOPS SAUCE-SNACK CLASSIC (1.18KGX12) BOX,Box,0,0,0,0,0,0,0,26,0,26,13,0,65
TOPS SAUCE-SNACK CLASSIC (1.18KGX12) HDP,PCS,0,0,0,0,300,156,156,0,0,0,0,0,612
TOPS SAUCE-SNACK CLASSIC (200GM X 24) -,PCS,0,0,0,0,120,0,120,0,0,0,0,0,240
TOPS SAUCE-SNACK CLASSIC (200GX24) BOX,Box,0,0,0,0,0,0,10,10,0,0,0,0,20
TOPS SAUCE-SNACK CLASSIC (465GM X 12) -,PCS,0,0,0,0,60,0,60,0,-12,0,0,0,108
TOPS SAUCE-SNACK CLASSIC (465GX12) BOX,Box,0,0,0,0,0,0,10,10,0,0,0,0,20
TOPS SAUCE-SNACK CLASSIC (950GM X 12)-12,PCS,0,0,0,0,725,804,396,-12,0,0,0,0,1913
TOPS SAUCE-SNACK CLASSIC (950GM X12)-BOX,Box,0,0,0,0,0,0,49,124,57,47,66,0,343
TOPS SAUCE-SNACK CLASSIC (970GM X 12)-15,PCS,0,0,0,0,0,0,0,0,-4,0,0,0,-4
TOPS SAUCE-SNACK DRESSING (1.18KG X 12),PCS,0,0,0,0,156,0,0,0,0,0,1,0,157
TOPS SAUCE-SOYA (1.3KG X 12) HDPE - 108,PCS,0,0,0,303,1040,636,12,0,-26,0,0,0,1965
TOPS SAUCE-SOYA (1.3KG X 12) HDPE - BOX,Box,0,0,0,0,0,0,77,68,74,122,42,0,383
TOPS SAUCE-SOYA (740GM X 18) HDPE - 85,PCS,0,0,0,0,1062,756,180,31,0,0,0,0,2029
TOPS SAUCE-SOYA (740GM X 18) HDPE -BOX,Box,0,0,0,0,0,0,30,54,68,41,35,0,228
TOPS SAUCE-T.K. (850GM*12) SPOUT140 BOX,Box,0,0,0,0,0,0,0,0,23,13,20,0,56
TOPS SAUCE-T.K. (900GM X 12) SPOUT - 140,PCS,0,0,0,0,180,300,384,48,0,0,1,0,913
TOPS SAUCE-T.K. (90GM X 96) SPOUT - 10,PCS,0,0,0,0,960,1920,1920,0,0,0,0,0,4800
TOPS SAUCE-T.K. (90GM*96) SPOUT( BOX)10/,Box,0,0,0,0,0,0,0,10,0,0,0,0,10
TOPS SAUCE-T.K.(08GMX1296)PCH-1-HRC-SNGL,PCS,0,0,0,51984,202176,0,0,0,0,0,30,0,254190
TOPS SAUCE-T.K.(08GMX1296)PCH-Box-HRC,Box,0,0,0,0,68,211,96,154,297,350,66,0,1242
TOPS SAUCE-TOMATO KETCHUP (1.2 KG X 12),PCS,0,0,0,0,480,888,768,0,0,0,0,0,2136
TOPS SAUCE-TOMATO KETCHUP (1KG X 12) - 1,PCS,0,0,0,0,600,204,600,0,-12,0,0,0,1392
TOPS SAUCE-TOMATO KETCHUP (1KG X 12)NONG,PCS,0,0,0,168,120,852,0,0,0,0,0,0,1140
TOPS SAUCE-TOMATO KETCHUP (200GM X 24) -,PCS,0,0,0,0,0,0,0,0,-80,0,0,0,-80
TOPS TOMATO KETCHUP (1.2KG*12NGB) BOX148,Box,0,0,0,0,0,0,25,80,181,52,70,0,408
TOPS TOMATO KETCHUP (1KG*12) 147/ BOX,Box,0,0,0,0,0,0,0,50,50,51,0,0,151
TOPS TOMATO KETCHUP (1KG*12GB) 147- BOX,Box,0,0,0,0,0,0,50,100,74,0,17,0,241
TOPS VERMICELLI PLAIN (800GM X 18) - 80,PCS,0,0,0,0,36,0,324,0,0,0,10,0,370
TOPS VERMICELLI ROASTED (825GM X 18) - 9,PCS,0,0,0,0,0,0,180,0,0,0,0,0,180
TOPS VINEGAR BROWN (610ML X 18) HDPE - 6,PCS,0,0,0,0,0,0,0,0,-179,0,0,0,-179
TOPS VINEGAR BROWN (610ML X 18) HDPE BOX,Box,0,0,0,0,0,0,17,0,0,0,4,0,21
TOPS VINEGAR WHITE (1 LTR X 12) 85/- BOX,Box,0,0,0,0,0,0,200,160,164,161,78,0,763
TOPS VINEGAR WHITE (1 LTR X 12) HDPE - 8,PCS,0,0,0,780,936,2172,12,0,0,0,0,0,3900
TOPS VINEGAR WHITE (610ML X 18) 65/-,PCS,0,0,0,456,2589,2910,54,612,0,0,0,0,6621
TOPS VINEGAR WHITE (610ML X 18)-65 Box,Box,0,0,0,0,0,0,204,136,237,193,168,0,938
Vasmol Shehnai Natural Heena -150gm,PCS,0,12,0,0,0,0,0,0,0,0,0,0,12
VICCO  DALCH TOOTHPASTE 160GM,PCS,0,360,60,420,0,360,360,420,540,600,300,0,3420
VICCO  SAUNF TOOTHPASTE 200GM,PCS,960,1260,1140,1500,1380,1440,1380,2400,2400,2460,1620,0,17940
VICCO NARAYANI CREAM 30G,PCS,0,180,0,0,0,0,0,0,0,60,0,0,240
VICCO SKIN CRM TURMERIC VTC 15G,PCS,132,180,157,174,258,495,174,159,198,93,36,0,2056
VICCO SKIN CRM TURMERIC VTC 30G,PCS,168,12,648,608,290,685,941,529,596,541,417,0,5435
VICCO SKIN CRM TURMERIC VTC 50G,PCS,240,120,120,840,360,510,450,360,380,360,240,0,3980
VICCO SKIN CRM TURMERIC VTC 70G,PCS,599,1,952,903,784,833,1086,805,1233,776,520,0,8492
VICCO SKIN CRM WSO 15G,PCS,162,0,0,114,51,144,132,150,129,213,0,0,1095
VICCO SKIN CRM WSO CRM 30G,PCS,720,0,1260,1260,1080,1620,1080,1440,1260,720,360,0,10800
VICCO SKIN CRM WSO CRM 60G,PCS,0,60,0,2,120,150,252,376,0,60,120,0,1140
VICCO Tur (S)Shaving Cream Foam Base 70g,PCS,60,0,0,120,0,0,0,0,0,0,0,0,180
VICCO TURMERIC CR FW FOAM  BASE 30g 40/-,PCS,0,0,0,0,0,0,180,0,0,0,0,0,180
VICCO VAJRADANTI PASTE 100 82/-,PCS,1680,1080,2280,2640,3360,2520,4440,3240,2760,3087,1279,0,28366
VICCO VAJRADANTI PASTE 150g 115/-,PCS,660,0,720,420,660,600,660,780,840,1080,204,0,6624
VICCO VAJRADANTI PASTE 200 137/-,PCS,1380,300,1020,1560,1560,2040,2100,2280,1980,2190,600,0,17010
VICCO VAJRADANTI PASTE 50G,PCS,180,0,0,0,0,0,6,72,448,192,180,0,1078
VICCO VAJRADANTI POWDER 100G,PCS,30,61,24,66,72,173,228,522,846,294,0,0,2316
VICCO VAJRADANTI POWDER 50G,PCS,540,228,48,156,156,564,588,180,720,552,648,0,4380
WOODWARDS GRIPE WATER 130ML,PCS,90,0,0,0,0,0,0,0,0,0,0,0,90
WOODWARDS GRIPE WATER 200ML,PCS,0,60,9,40,13,57,0,0,60,111,3,0,353
