Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
00234 HP CB Dry Fruit BarFi 240g (360),0,0,0,24,0,0,0,0,0,0,0,0
00272 HP CB DF Bar Asrtd (35gX1X6) 210g,0,0,0,24,0,0,0,0,0,0,0,0
03402 Happilo Dry Fruit CP GB Nightingal,0,0,0,0,0,0,900,0,0,0,0,0
165/70R1481TZLXTL,0,0,0,0,0,3,0,0,0,0,0,0
20007 Happilo Turkish Apricots 200g,0,32,50,29,62,105,84,74,20,14,54,0
20014 Happilo Dried Bluberries 150gm,40,10,48,10,48,10,1,40,7,0,40,0
20021 Happilo Califo Almond R&S 200g,30,15,0,169,50,75,206,160,0,40,16,0
20038 Happilo Clf Whole Cranberries 200g,0,2,0,0,0,0,0,0,0,0,0,0
20045 Happilo Drd& PIT Calfo Pruns 200g,6,15,20,160,101,81,95,90,30,125,45,0
20052 Happilo Califo R&S Pistachios 200g,0,0,0,50,60,0,50,50,24,25,25,0
20069 Happilo  Intl Supermix Berries 200,38,73,50,64,55,144,175,110,32,86,25,0
20076 Happilo Califo Walnut Kernel 200g,0,0,0,0,0,0,0,25,49,25,0,0
20083 Happilo Cashews R&S 200g,25,22,50,35,53,165,130,100,0,115,57,0
20090 Happilo Healthy Nutmix 200g,76,76,86,33,153,158,184,132,91,81,20,0
20151 Happilo Natural Califo Almds 200g,30,51,0,12,48,147,107,119,25,136,75,0
20168 Happilo Sliced Cranberries 200g,60,26,0,70,59,6,87,14,0,21,10,0
20175 HappiloDeluxe Kashmiri Walnut 200,0,0,0,0,20,0,0,0,0,0,0,0
20182 HappiloPrm Kashmiri Walnut 200g,0,0,0,0,0,25,50,0,0,25,50,0
20199 Happilo Intl Nuts & Berries 200g,10,47,30,70,64,108,56,103,3,64,44,0
20205 Happilo Intl Trial Mix 200g,80,11,40,20,60,10,26,40,0,10,20,0
20229 HappiloPrem Whole Cashews 200g,40,37,0,105,25,100,85,25,0,100,0,0
20236 HappiloPrem Seedless Raisin 250g,0,3,0,149,31,50,0,75,0,25,50,0
20243 Happilo Afghani Seedless G Raisin,0,0,0,0,0,25,25,25,0,25,0,0
20434 HappiloPrm Afghani Blc Raisin 250,0,24,70,110,176,158,246,100,0,90,60,0
20472 Happilo Intl Salted Party Mix 200g,40,22,30,1,48,20,15,30,16,20,10,0
20564 Happilo INSHELL WALNUT 500G,0,34,40,14,83,82,125,89,0,32,0,0
20571 Happilo Calfn inShell Walnut 1000g,0,48,50,20,46,48,80,24,0,0,30,0
20670 Happilo Prem Afghani Anjeer 200g,134,73,50,67,130,135,166,65,65,76,25,0
20687 Happilo Prem Ir R&S Pistachios 200,86,38,80,20,2739,85,101,120,43,25,30,0
20991 Happilo Prem S&R Pumpkin Seeds 200,80,18,60,55,105,119,169,62,87,68,50,0
21035 Happilo Prem Queen Kalmi Dates 200,0,45,70,49,84,120,280,45,0,75,33,0
21042 Happilo KING MEDJOUL DATES 200G,87,0,40,0,10,10,10,0,0,0,50,0
21059 Happilo Prem Omani Dates 250g,100,103,140,10,153,216,46,348,222,206,150,0
21073 Happilo Prem Seeds & Berries 200g,0,0,0,75,79,45,71,15,0,24,25,0
21080 Happilo Prem Dried B'berry C'berry,43,32,68,18,100,25,50,20,55,35,0,0
21202 HP Supersoft Kimia Dates 500g 399/,0,0,540,40,92,0,0,0,0,0,0,0
22476 Happilo Prm White CHIA Seeds 250G,0,0,0,0,0,0,0,6,0,12,6,0
22483 Happilo Prem Raw Melon Seeds 200g,0,0,0,0,0,6,12,6,0,1,0,0
22544 Happilo OMANI DATES 680GM 549/-,0,0,0,0,0,18,0,0,0,18,1,0
22827 Ziofit Californian Almonds,34,55,60,200,12,12,12,0,0,0,40,0
22834 Ziofit Indian Whole Cashew 200gm,20,13,48,309,10,218,70,48,40,70,2,0
22841 Ziofit Indian Long Raisins 200,6,72,80,63,144,250,112,4,6,48,0,0
22858 Ziofit R&S Pistachios,48,40,70,274,40,136,136,0,0,0,96,0
22865 Ziofit Inshell Walnut BOGO 200G315,50,0,47,0,17,20,20,10,10,0,0,0
22896 Ziofit Californian Almonds,10,20,60,45,0,0,0,0,0,0,0,0
22902 Ziofit Indian Whole Cashew 500g,10,10,50,1,0,0,0,0,0,0,0,0
22919 Ziofit Roasted & LS Pistachios 500,24,50,34,0,0,0,1,0,0,0,0,0
22926 Ziofit Indian Long Raisins,48,72,70,24,0,0,0,0,0,0,0,0
22933 Ziofit Californian Inshell Walnuts,72,20,4,0,0,0,0,0,0,0,0,0
22964 Ziofit Classic Sultan Date 500g,82,48,90,10,0,0,0,0,0,0,0,0
22971 Ziofit Walnuts Kernels Ext 250,80,51,61,168,118,88,0,72,12,0,0,0
22988 Ziofit Dried Figs 200g 625/-,0,24,72,274,20,36,12,70,25,0,48,0
23046 Ziofit Classic Sultan Date 250,48,83,167,360,100,70,192,80,30,0,1,0
23053 Ziofit Walnut Kernels Extr,143,0,96,262,52,72,0,140,20,47,0,0
23060 Ziofit Walnut Kernels (BOGO) 250g,36,48,36,251,66,92,70,64,0,0,48,0
23619 Happilo Natural Almond 500g,1895,2500,0,771,2090,2257,372,1910,2,26,165,0
23626 Happilo Prem Whole Cashews 500g,1221,1160,173,1596,655,2360,66,1965,213,205,400,0
23633 Happilo Prem Seedles Raisins 500g,195,11,91,102,111,140,150,570,91,116,160,0
23640 Happilo R&S Califo Pistachios 500g,152,40,100,113,233,160,201,287,131,270,79,0
23732 HP Dry Fruit CB GTB MACAW 285G 599,0,0,0,0,0,0,500,0,0,0,0,0
23749 Happilo Dry Fruit Celeb Earth,0,0,0,0,0,0,700,0,0,0,0,0
26856 Happilo Dry Fruit Celebrat,0,0,0,0,0,0,400,0,0,0,0,0
26870 Happilo Dry Fruit Celebrat,0,0,0,0,0,0,24,0,0,0,0,0
27037 Happilo Oven R&S Cashew 80g,0,24,0,76,0,0,0,0,0,0,0,0
27181 Happilo Super Mom Trial Mix 350g,5,20,55,25,40,30,44,26,0,0,25,0
27211 Happilo Prem Seeds & Nuts Mix 250g,0,20,80,15,30,0,40,59,0,0,40,0
27235 Happilo Prm 10in1Seeds & Nuts Mix,0,25,0,0,0,0,0,0,0,0,0,0
27464 HP SS Makhana Perky Pudina 60g(99),0,0,0,150,0,45,0,0,0,0,0,0
27471 HP SS Makhana Peri Peri 60g (99),0,0,0,150,0,45,75,15,60,0,15,0
27563 Happilo Prem Intl Fitness Mix 160g,60,10,65,24,60,0,15,26,0,0,50,0
27570 Happilo Prem Intl Health Mix 160g,10,10,51,60,30,18,50,40,10,0,40,0
27587 Happilo Prm Intrn Champion Mix 160,20,11,47,25,40,10,50,20,10,0,25,0
28034 Happilo Dry Fruit Celebrat,0,0,0,0,0,0,300,0,0,0,0,0
28072 Happilo Dry Fruit CP GB Gardenia,0,0,0,0,0,0,500,0,0,0,0,0
28164 Happilo Dry Fruit Celeb Orchid 1kg,0,0,0,0,0,0,36,262,0,0,0,0
28393 HP SS Makhana Chilli Garlic 60g (9,0,0,0,150,0,60,45,75,0,0,75,0
28409 HP SS Makhana Pink S&P 60g (99),0,0,0,150,0,55,0,60,15,0,44,0
28423 HP SS Makhana Cream&Onion 60g (99),0,0,0,150,0,45,0,60,15,0,45,0
28744 HP Cranberry Cashew DF Bar35g (70),0,0,0,432,144,0,138,288,0,0,0,0
28751 HP Rose Almond DF Bar 35g (70),0,0,0,432,144,0,0,0,0,0,0,0
28768 HP Walnuts DF Bar 35g (70),0,0,0,432,372,0,0,144,0,0,0,0
28775 HP Pista DF Bar 35g (70),0,0,0,432,253,0,0,144,0,0,144,0
28782 HP Choco Almond DF Bar 35g (70),0,0,0,432,420,0,0,0,0,0,0,0
29215 HP Blueberries DF Bar 35g (70),0,0,0,432,144,0,144,0,0,0,0,0
29642 HP CB DF Bar Asrtd (15gX2X6) 180g,0,0,0,24,0,0,0,0,0,0,0,0
29932 Happilo Dry Fruit BarFi GB 240G,0,0,0,0,0,0,200,0,0,0,0,0
BABA BHUJIA SF ACHARI MANGO-30GM,0,0,0,0,170,0,600,0,0,0,0,0
BABA BHUJIA SF CRUNCHY VEGGIES-30GM,0,0,0,0,170,0,600,0,600,0,0,0
BABA BHUJIA SF MIX S BUNDI-30GM,0,0,0,0,170,200,300,0,600,0,0,0
BABA BHUJIA SF PUDINA MASALA-30GM,0,0,0,0,170,0,300,0,0,0,0,0
Baba Elaichi Silver Coated 10 g,530,385,0,30,70,105,130,95,225,99,150,0
Baba Elaichi Silver Coated 6 g,50,70,60,60,100,50,90,70,90,100,20,0
BABA FRU ASSORTED JELLY JAR,0,0,0,0,0,0,0,0,0,0,0,0
BABA FRU ASSORTED JELLY POUCH (3.6x100),30,0,0,30,0,0,30,29,30,60,0,0
BABA FRU ASSORTED JELLY POUCH (3.6X30),0,0,0,0,0,0,0,0,0,0,0,0
BABA GEL & JELLY ASSORTED FUN PACK 3*4,0,0,0,0,0,0,0,3,0,0,0,0
BABA KABULI CHANNA SF HING JEERA-30GM,0,0,0,0,170,200,0,0,0,0,0,0
BABA KABULI CHANNA SF LEMON CHILLI-30GM,0,0,0,0,170,200,0,0,0,0,0,0
BABA KABULI CHANNA SF PLAIN SALTED-30GM,0,0,0,0,170,0,0,0,0,0,0,0
BABA KABULI CHANNA SF PUDINA MASALA-30GM,0,0,0,0,170,0,0,0,0,0,0,0
BABA LIQUID LIFE NAT. MINERAL WATER 15L,25,28,0,0,6,0,0,0,0,0,0,0
BABA LIQUID LIFE NAT. MINERAL WATER 1L,900,1044,900,792,1260,575,636,312,744,372,192,0
BABA LIQUID LIFE NAT. MINERAL WATER 200,168,168,216,72,312,72,192,72,168,72,0,0
BABA MAKHANA ACHARI MANGO TWIST - 16GM,593,682,2250,2357,2560,2830,3320,1860,1934,2055,900,0
BABA MAKHANA ACHARI MANGO TWIST - 75 GM,72,38,0,24,48,0,19,24,0,0,0,0
BABA MAKHANA CHEESY GARLIC TWIST - 16 GM,0,180,1620,1440,630,900,720,1440,1530,1260,720,0
BABA MAKHANA CHEESY SALT & BLC P - 16 GM,0,450,1440,1350,1170,1440,1710,360,1080,2520,720,0
BABA MAKHANA LEMON MASALA TWIST - 16GM,1770,2390,3514,3980,3618,4323,4180,2940,2600,2637,1539,0
BABA MAKHANA LEMON MASALA TWIST - 75 GM,72,48,0,48,48,0,24,0,0,48,0,0
BABA MAKHANA PERI PERI MASALA 80GM,0,0,0,0,0,20,88,8,0,0,0,0
BABA MAKHANA PERI PERI TWIST - 16GM,0,450,1440,1440,720,720,450,900,990,1080,450,0
BABA MAKHANA PUDINA MASALA 80GM,0,0,0,0,0,20,88,8,0,0,0,0
BABA MAKHANA PUDINA MASALA TWIST - 16GM,1973,2330,3946,4660,5160,4677,4800,4470,3649,3118,1620,0
BABA MAKHANA PUDINA MASALA TWIST - 75 GM,96,48,0,24,144,24,0,0,24,48,0,0
BABA MAKHANA SALT & BLC PPR 80GM,0,0,0,0,0,20,172,8,0,24,0,0
BABA NATURE'S MIRACLE AGLIO SAUCE 150G,6,16,0,5,2,0,5,29,15,1,0,0
BABA NATURE'S MIRACLE AOBITA SAUCE 400G,0,6,0,6,0,18,0,0,24,5,0,0
BABA NATURE'S MIRACLE CHETTINAD GRAVY,0,0,0,0,0,0,0,12,0,0,0,0
BABA NATURE'S MIRACLE DATE SWTNR 200G,0,0,0,0,0,0,0,4,14,4,0,0
BABA NATURE'S MIRACLE MAKHANI GRAVY 370g,0,0,0,0,0,3,3,0,0,0,0,0
BABA NATURE'S MIRACLE RATATO SPREAD 175G,6,0,0,4,0,3,33,21,9,0,0,0
BABA NATURE'S MIRACLE S.WICH SPREAD 175G,0,0,0,0,0,3,3,3,16,0,0,0
BABA NATURE'S MIRACLE TOMATO SALSA 175,2,8,0,3,11,14,39,18,0,0,0,0
BABA SF ACHARI MANGO CHIPS-45G,134,180,0,270,0,0,90,89,178,270,0,0
BABA SF ASSORTED BOX MAKHANA 3CANS*80G,0,0,0,0,0,0,56,0,0,0,0,0
BABA SF PUDINA MIX CHIPS-45G,90,90,90,270,0,0,0,0,90,90,0,0
BABA SF SALT & PEPPER CHIPS-45G,0,0,0,0,0,0,0,1440,0,0,0,0
BOROLINE ANTISEPTIC CR 20G T 42/-,0,0,500,0,0,0,500,227,0,652,0,0
BOROLINE ANTISEPTIC CR 40G JAR 80/-,0,0,360,0,0,0,240,524,0,1117,0,0
BOROLINE SUTHOL CHANDAN 200ML 85/-,0,0,120,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL CHANDAN SPRAY 100ML,0,0,120,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL NEEM 100ML 48/-,0,0,240,0,0,80,0,0,0,0,0,0
BOROLINE SUTHOL NEEM 200ML 85/-,0,0,360,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL NEEM SPRAY 100ML,0,0,240,0,0,0,0,0,0,0,0,0
BOROLINE SX ANTISEPTIC CR 100G 185/-,0,0,60,0,0,0,0,0,0,0,0,0
BOROLINE ULTRA SMOOTH ANTISEPTIC CRM 100,0,0,60,0,0,0,0,0,0,0,0,0
BOROLINE ULTRA SMOOTH CRM 20ml,0,0,0,0,0,0,180,0,0,159,0,0
BOROLINE ULTRA SMOOTH CRM 40GM,0,0,0,0,0,0,120,261,0,772,0,0
Denver Beer Shampoo Anti Dandruff 200ml,0,0,600,0,0,0,0,0,0,0,0,0
Denver Black Code Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Caliber Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Deo Blackcode 127G 280/-,3339,686,215,1160,124,0,222,12,63,119,6,0
Denver Deo Caliber 127gm 280/-,918,1524,1767,792,792,1326,735,290,807,870,6,0
Denver Deo Goal 127G 265/-,0,0,600,0,0,0,0,0,0,0,0,0
